deu-enh,eng,warning,Qid_detail
beyn,bone,warningANIMAL,Q265868
beyne,bone,warningANIMAL,Q265868
bezzin,chard,,Q157954
bibenel,salad burnet,,Q163799
bibennelle,salad burnet,,Q163799
bibennellen,salad burnet,,Q163799
biber schwentz,beaver tail,,Q96756739
bibernell,salad burnet,,Q163799
bibnella,salad burnet,,Q163799
bieda,chard,,Q157954
bier,beer,,Q44
bier hebe,beer yeast,,Q12045459
biera,pear,,Q13099586
bieran,pear,,Q13099586
biere,beer,,Q44
bieren,pear,,Q13099586
bieressig,beer vinegar,,Q107262097
bierhebe,beer yeast,,Q12045459
biern,pear,,Q13099586
bierwirtz,wort,,Q14404476
biessen,chard,,Q157954
biessen kraut,chard,,Q157954
biessenkraut,chard,,Q157954
bimezelten,gingerbread for sauce,,Q1468150
bimzelten,gingerbread for sauce,,Q1468150
bineschtz,spinach,,Q36814998
binetsch,spinach,,Q36814998
binetst,spinach,,Q36814998
binz,cane,,Q158480
binzen,cane,,Q158480
bir,pear,,Q13099586
bir essig,beer vinegar,,Q107262097
bir heffen,beer yeast,,Q12045459
bir heffenn,beer yeast,,Q12045459
birnen czelten,pear cake,,Q0
bir wuertz,wort,,Q14404476
biren,pear,,Q13099586
birn,pear,,Q13099586
birn wasser,pear water,,Q107262145
birnen,pear,,Q13099586
birnn,pear,,Q13099586
birren,pear,,Q13099586
birrn,pear,,Q13099586
bisempleterr,chard,,Q157954
bismalva,white poplar,,Q146269
blad,dough sheet,,Q107261744
bladeren,dough sheet,,Q107261744
blad von teige,dough sheet,,Q107261744
blae,pancake,warningKONTEXT,Q44541
blaetter,dough sheet,,Q107261744
blaid,dough sheet,,Q107261744
blaid von teige,dough sheet,,Q107261744
blat,pancake,warningKONTEXT,Q44541
blat von teyge,dough sheet,,Q107261744
blate,pancake,warningKONTEXT,Q44541
blatt,pancake,warningKONTEXT,Q44541
blatt von teig,dough sheet,,Q107261744
blautren,northern pike bladder,warningANIMAL,Q0
bleddern,dough sheet,,Q107261744
bleder,dough sheet,warningKONTEXT,Q107261744
bleter,pancake,warningKONTEXT,Q44541
bleteren,dough sheet,,Q107261744
bleterlin,parsley,,Q25284
bletter,dough sheet,warningKONTEXT,Q107261744
bletter von saluey,common sage,,Q1111359
bloemen,flower,warningKONTEXT,Q506
bluemlin,flower,warningKONTEXT,Q506
bluest,flower,warningKONTEXT,Q506
bluet,flower,warningKONTEXT,Q506
blume,flower,warningKONTEXT,Q506
blumen,flower,warningKONTEXT,Q506
bluomen,flower,warningKONTEXT,Q506
bluomenn,flower,warningKONTEXT,Q506
bluost,broad bean blossom,warningKONTEXT,Q0
bonen bluost,broad bean blossom,,Q0
blut,flower,warningKONTEXT,Q506
blüte,flower,warningKONTEXT,Q506
bockes leber,liver,,Q1470283
bockleber,liver,,Q1470283
boeck lebren,liver,,Q1470283
boen nusz,walnut,,Q208021
boesz czuo den augen,part of the crayfish,,Q96756089
boes zuo den ougen,part of the crayfish,,Q96756089
boeesz,part of the crayfish,,Q96756089
bolan,pennyroyal,,Q161235
bolay,pennyroyal,,Q161235
bolchenn,stockfish,,Q213725
bolei,pennyroyal,,Q161235
bolle,onion,,Q3406628
bom nuß,walnut,,Q208021
bomaranzenn,bitter orange,,Q27657260
bomerantze,bitter orange,,Q27657260
bomnus,walnut,,Q208021
bon,broad bean,,Q61672189
bonen,broad bean,,Q61672189
bonen blut,broad bean,,Q61672189
bonen bry,broad bean broth,,Q107313890
bonnus,walnut,,Q208021
boräcz,borage,,Q147075
boräczsch bluomen,borage,,Q147075
boraetsch,borage,,Q147075
boraettsch,borage,,Q147075
boraetz,borage,,Q147075
boraetzsch bluomen,borage,,Q147075
boragines,unsolved,,Q0
borago,borage,,Q147075
borättsch,borage,,Q147075
borgel,purslane,,Q158015
born,well water,,Q1881858
born wasser,well water,,Q1881858
bornkerß,watercress,,Q150452
bornkersz,watercress,,Q150452
bose,part of the crayfish,,Q96756089
bose usz den augen,part of the crayfish,,Q96756089
boum nus,walnut,,Q208021
boum nuß,walnut,,Q208021
brach vogel,curlew,,Q215166
brachsman,common bream,,Q144534
brachsne,common bream,,Q144534
brachß,common bream,,Q144534
braenwurtzen,common figwort,,Q159115
braettig,chicken breast,,Q2607161
bram,bramble,,Q19842373
bräm ber,bramble,,Q19842373
bramber,bramble,,Q19842373
bramberen,bramble,,Q19842373
brasmen,common bream,,Q144534
braunwurtz,common figwort,,Q159115
braunwurtzen,common figwort,,Q159115
braxsenn,common bream,,Q144534
brede,sausage meat,warningKONTEXT,Q995566
bredig der vische,cut of fish,,Q67731470
bresteling,wild strawberry,,Q107262469
bret,sausage meat,warningKONTEXT,Q995566
bretig,chicken breast,,Q2607161
brett der fischenn,cut of fish,,Q67731470
brieffle,unsolved,,
brod,stock,warningKONTEXT,Q3075310
brod,stock,warningKONTEXT,Q3075310
brode,bread,warningKONTEXT,Q7802
brodes,bread,,Q7802
brods,bread,warningKONTEXT,Q7802
broesmen,breadcrumb,,Q54082577
broet,bread,,Q7802
broete,bread,,Q7802
broeten,bread,,Q7802
broetes,bread,,Q7802
broid,bread,warningKONTEXT,Q7802
broid,bread,,Q7802
broissem,breadcrumb,,Q54082577
bromber,bramble,,Q19842373
brombere,bramble,,Q19842373
bromberen,bramble,,Q19842373
broombere,bramble,,Q19842373
broomberr,bramble,,Q19842373
broscham,breadcrumb,,Q54082577
broschem,breadcrumb,,Q54082577
broschem brodes,crumb,,Q1552373
broszem brodes,crumb,,Q1552373
brosemm,breadcrumb,,Q54082577
brosem wisz brotes,white breadcrumbs,,Q107262394
brosen,breadcrumb,,Q54082577
brosmen,crumb,,Q1552373
brossem,crumb,,Q1552373
brossen,breadcrumb,,Q54082577
brossen wisses broutz,white breadcrumbs,,Q107262394
broszem,breadcrumb,,Q54082577
broszem wiszs brods,white breadcrumbs,,Q107262394
brot,bread,,Q7802
brote,bread,,Q7802
brotes,bread,,Q7802
brots,bread,,Q7802
brott,bread,,Q7802
brottes,bread,warningKONTEXT,Q7802
brott ruggis,rye bread,,Q3893120
brottwurst,sausage,,Q899882
brout,bread,,Q7802
broutz,bread,,Q7802
bru,stock,warningKONTEXT,Q3075310
brue,stock,warningKONTEXT,Q3075310
